Ticker, Price ,Annual Dividend,Annual Yield
AMERISOURCEBERGEN CORPORATION (XNYS:ABC),$140.68,$1.84,1.25%
"PPG INDUSTRIES, INC. (XNYS:PPG)",$110.02,$2.36,2.15%
"BECTON, DICKINSON AND COMPANY (XNYS:BDX)",$235.33,$3.48,1.48%
SILGAN HOLDINGS INC. (XNAS:SLGN),$40.00,$0.64,1.50%
A. O. SMITH CORPORATION (XNYS:AOS),$53.11,$1.12,1.84%
ABBOTT LABORATORIES (XNYS:ABT),$102.49,$1.88,1.84%
"ROYAL GOLD, INC. (XNAS:RGLD)",$108.93,$1.40,1.24%
CALIFORNIA WATER SERVICE GROUP (XNYS:CWT),$49.83,not found,not found
PARKER-HANNIFIN CORPORATION (XNYS:PH),$236.37,$5.32,2.21%
SEI INVESTMENTS COMPANY (XNAS:SEIC),$52.11,$0.80,1.44%
"APTARGROUP, INC. (XNYS:ATR)",$97.50,not found,not found
"W.W. GRAINGER, INC. (XNYS:GWW)",$442.09,$6.88,1.39%
"LOWE'S COMPANIES, INC. (XNYS:LOW)",$172.43,$4.20,2.36%
LINDE PUBLIC LIMITED COMPANY (XNYS:LIN),$290.68,$4.68,1.39%
Tennant Company (XNYS:TNC),$56.31,not found,not found
MSA Safety Incorporated (XNYS:MSA),$114.76,$1.84,1.53%
FEDEX CORPORATION (XNYS:FDX),$229.90,$3.00,1.30%
PENTAIR PUBLIC LIMITED COMPANY (XNYS:PNR),$43.92,$0.84,1.65%
DOVER CORPORATION (XNYS:DOV),$117.29,$2.00,1.50%
STEPAN COMPANY (XNYS:SCL),$95.78,not found,not found
"JACK HENRY & ASSOCIATES, INC. (XNAS:JKHY)",$172.13,$1.96,1.09%
EBAY INC. (XNAS:EBAY),$42.21,$0.88,1.88%
AMERICAN EXPRESS COMPANY (XNYS:AXP),$144.24,$2.08,1.51%
BROWN-FORMAN CORPORATION (XNYS:BF.B),$66.57,not found,not found
STRYKER CORPORATION (XNYS:SYK),$194.09,$2.78,1.21%
MIDDLESEX WATER COMPANY (XNAS:MSEX),$80.30,not found,not found
"CHURCH & DWIGHT CO., INC. (XNYS:CHD)",$82.13,$1.05,1.28%
CSX Corporation (XNAS:CSX),$28.93,$0.40,1.36%
"ANTHEM, INC. (XNYS:ANTM)",$444.32,$5.12,1.03%
"TOOTSIE ROLL INDUSTRIES, INC. (XNYS:TR)",$32.34,$0.35,1.09%
RLI Corp. (XNYS:RLI),$109.68,not found,not found
TRACTOR SUPPLY COMPANY (XNAS:TSCO),$188.73,$3.68,1.89%
CARLISLE COMPANIES INCORPORATED (XNYS:CSL),$234.56,not found,not found
ECOLAB INC. (XNYS:ECL),$148.32,$2.04,1.36%
"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC (XNAS:EXPD)",$94.22,$1.34,1.22%
CINTAS CORPORATION (XNAS:CTAS),$347.35,$3.80,0.96%
BROOKFIELD ASSET MANAGEMENT INC. (XNYS:BAM),$43.37,$0.56,1.29%
RENAISSANCERE HOLDINGS LTD. (XNYS:RNR),$148.94,not found,not found
CANADIAN PACIFIC RAILWAY LIMITED (XNYS:CP),$67.40,$0.60,0.86%
H.B. FULLER COMPANY (XNYS:FUL),$60.28,not found,not found
NORDSON CORPORATION (XNAS:NDSN),$195.36,$2.04,0.99%
MCKESSON CORPORATION (XNYS:MCK),$300.68,$1.88,0.61%
"FRANKLIN ELECTRIC CO., INC. (XNAS:FELE)",$68.59,not found,not found
"BADGER METER, INC. (XNYS:BMI)",$75.10,not found,not found
MICROSOFT CORPORATION (XNAS:MSFT),$247.65,$2.48,1.00%
"NIKE, INC. (XNYS:NKE)",$107.26,$1.22,1.14%
DOLLAR GENERAL CORPORATION (XNYS:DG),$230.80,$2.20,0.95%
VISA INC. (XNYS:V),$190.01,$1.50,0.79%
ALBEMARLE CORPORATION (XNYS:ALB),$212.04,$1.58,0.75%
THE SHERWIN-WILLIAMS COMPANY (XNYS:SHW),$222.79,$2.40,1.05%
S&P Global Inc. (XNYS:SPGI),$319.93,$3.40,1.02%
MOODY'S CORPORATION (XNYS:MCO),$255.87,$2.80,1.09%
"APPLIED MATERIALS, INC. (XNAS:AMAT)",$89.83,$1.04,1.16%
"BROWN & BROWN, INC. (XNYS:BRO)",$53.50,$0.41,0.68%
UNIFIRST CORPORATION (XNYS:UNF),$155.99,not found,not found
COSTCO WHOLESALE CORPORATION (XNAS:COST),$446.69,$3.60,0.80%
"ROPER TECHNOLOGIES, INC. (XNYS:ROP)",$374.71,$2.48,0.57%
APPLE INC. (XNAS:AAPL),$131.56,$0.92,0.71%
INTUIT INC. (XNAS:INTU),$369.71,$2.72,0.71%
"MORNINGSTAR, INC. (XNAS:MORN)",$228.40,not found,not found
THERMO FISHER SCIENTIFIC INC. (XNYS:TMO),$500.90,$1.20,0.24%
"WEST PHARMACEUTICAL SERVICES, INC. (XNYS:WST)",$282.82,not found,not found
TEXTRON INC. (XNYS:TXT),$58.80,$0.08,0.12%
SUNOCO UNT (XNYS:SUN),$35.61,$3.30,9.22%
ENTERPRISE PRODUCTS PARTNERS UNT (XNYS:EPD),$23.38,$1.86,7.16%
AT&T INC. (XNYS:T),$19.34,$1.11,5.85%
"Altria Group, Inc. (XNYS:MO)",$45.30,$3.60,7.93%
Enbridge Inc. (XNYS:ENB),$40.48,$2.72,6.38%
TotalEnergies SE (XNYS:TTE),$51.30,$2.77,5.15%
UNIVERSAL CORPORATION (XNYS:UVV),$57.27,$3.16,5.04%
EXXON MOBIL CORPORATION (XNYS:XOM),$86.19,$3.52,3.85%
THE WESTERN UNION COMPANY (XNYS:WU),$15.75,$0.94,5.84%
INTERNATIONAL BUSINESS MACHINES CORPORATION (XNYS:IBM),$135.02,$6.60,4.86%
VERIZON COMMUNICATIONS INC. (XNYS:VZ),$49.02,$2.56,5.24%
UNIVERSAL HEALTH REALTY INCOME TRUST (XNYS:UHT),$49.96,not found,not found
CHEVRON CORPORATION (XNYS:CVX),$148.24,$5.68,3.65%
"H & R BLOCK, INC. (XNYS:HRB)",$33.00,$1.08,2.98%
THE BANK OF NOVA SCOTIA (XNYS:BNS),$60.86,$3.22,5.17%
CANADIAN IMPERIAL BANK OF COMMERCE (XNYS:CM),$49.17,$2.59,5.26%
LAZARD LTD (XNYS:LAZ),$31.06,$1.88,5.29%
"PEOPLE'S UNITED FINANCIAL, INC. (XNAS:PBCT)",$21.29,not found,not found
EDISON INTERNATIONAL (XNYS:EIX),$58.92,$2.80,4.58%
BANK OF MONTREAL (XNYS:BMO),$96.20,$4.34,4.32%
"GILEAD SCIENCES, INC. (XNAS:GILD)",$58.53,$2.92,4.99%
OMNICOM GROUP INC. (XNYS:OMC),$63.10,$2.80,3.91%
THE FIRST OF LONG ISLAND CORPORATION (XNAS:FLIC),$17.85,not found,not found
ORGANON & CO. (XNYS:OGN),$33.17,$1.12,3.01%
HANESBRANDS INC. (XNYS:HBI),$10.07,$0.60,5.87%
"CONSOLIDATED EDISON, INC. (XNYS:ED)",$86.89,$3.16,3.58%
THE TORONTO-DOMINION BANK (XNYS:TD),$66.35,$2.78,3.63%
Novartis Inc. (XNYS:NVS),$81.06,$3.33,3.81%
ROYAL BANK OF CANADA (XNYS:RY),$95.59,$3.99,4.07%
KELLOGG COMPANY (XNYS:K),$67.54,$2.32,3.37%
