Ticker, Price , Annual Dividend ,Dividend Yield
PENTAIR PUBLIC LIMITED COMPANY (XNYS:PNR),$43.92,,
DOVER CORPORATION (XNYS:DOV),$117.29,,
STEPAN COMPANY (XNYS:SCL),$95.78,,
"JACK HENRY & ASSOCIATES, INC. (XNAS:JKHY)",$172.13,,
EBAY INC. (XNAS:EBAY),$42.21,,
AMERICAN EXPRESS COMPANY (XNYS:AXP),$144.24,,
BROWN-FORMAN CORPORATION (XNYS:BF.B),$66.57,,
STRYKER CORPORATION (XNYS:SYK),$194.09,,
MIDDLESEX WATER COMPANY (XNAS:MSEX),$80.30,,
"CHURCH & DWIGHT CO., INC. (XNYS:CHD)",$82.13,,
CSX Corporation (XNAS:CSX),$28.93,,
"ANTHEM, INC. (XNYS:ANTM)",$444.32,,
"TOOTSIE ROLL INDUSTRIES, INC. (XNYS:TR)",$32.34,,
RLI Corp. (XNYS:RLI),$109.68,,
TRACTOR SUPPLY COMPANY (XNAS:TSCO),$188.73,,
CARLISLE COMPANIES INCORPORATED (XNYS:CSL),$234.56,,
ECOLAB INC. (XNYS:ECL),$148.32,,
"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC (XNAS:EXPD)",$94.22,,
CINTAS CORPORATION (XNAS:CTAS),$347.35,,
BROOKFIELD ASSET MANAGEMENT INC. (XNYS:BAM),$43.37,,
RENAISSANCERE HOLDINGS LTD. (XNYS:RNR),$148.94,,
CANADIAN PACIFIC RAILWAY LIMITED (XNYS:CP),$67.40,,
H.B. FULLER COMPANY (XNYS:FUL),$60.28,,
NORDSON CORPORATION (XNAS:NDSN),$195.36,,
MCKESSON CORPORATION (XNYS:MCK),$300.68,,
"FRANKLIN ELECTRIC CO., INC. (XNAS:FELE)",$68.59,,
"BADGER METER, INC. (XNYS:BMI)",$75.10,,
MICROSOFT CORPORATION (XNAS:MSFT),$247.65,,
"NIKE, INC. (XNYS:NKE)",$107.26,,
DOLLAR GENERAL CORPORATION (XNYS:DG),$230.80,,
VISA INC. (XNYS:V),$190.01,,
ALBEMARLE CORPORATION (XNYS:ALB),$212.04,,
THE SHERWIN-WILLIAMS COMPANY (XNYS:SHW),$222.79,,
S&P Global Inc. (XNYS:SPGI),$319.93,,
MOODY'S CORPORATION (XNYS:MCO),$255.87,,
"APPLIED MATERIALS, INC. (XNAS:AMAT)",$89.83,,
"BROWN & BROWN, INC. (XNYS:BRO)",$53.50,,
UNIFIRST CORPORATION (XNYS:UNF),$155.99,,
COSTCO WHOLESALE CORPORATION (XNAS:COST),$446.69,,
"ROPER TECHNOLOGIES, INC. (XNYS:ROP)",$374.71,,
APPLE INC. (XNAS:AAPL),$131.56,,
INTUIT INC. (XNAS:INTU),$369.71,,
"MORNINGSTAR, INC. (XNAS:MORN)",$228.40,,
THERMO FISHER SCIENTIFIC INC. (XNYS:TMO),$500.90,,
"WEST PHARMACEUTICAL SERVICES, INC. (XNYS:WST)",$282.82,,
TEXTRON INC. (XNYS:TXT),$58.80,,
SUNOCO UNT (XNYS:SUN),$35.61,,
ENTERPRISE PRODUCTS PARTNERS UNT (XNYS:EPD),$23.38,,
AT&T INC. (XNYS:T),$19.34,,
"Altria Group, Inc. (XNYS:MO)",$45.30,,
Enbridge Inc. (XNYS:ENB),$40.48,,
TotalEnergies SE (XNYS:TTE),$51.30,,
UNIVERSAL CORPORATION (XNYS:UVV),$57.27,,
EXXON MOBIL CORPORATION (XNYS:XOM),$86.19,,
THE WESTERN UNION COMPANY (XNYS:WU),$15.75,,
INTERNATIONAL BUSINESS MACHINES CORPORATION (XNYS:IBM),$135.02,,
VERIZON COMMUNICATIONS INC. (XNYS:VZ),$49.02,,
UNIVERSAL HEALTH REALTY INCOME TRUST (XNYS:UHT),$49.96,,
CHEVRON CORPORATION (XNYS:CVX),$148.24,,
"H & R BLOCK, INC. (XNYS:HRB)",$33.00,,
